key 	 Omega 	 dN 	 dS 
OGs_OG0006365_Gbi_Lko.aln	0.0744	0.1345	1.8075
OGs_OG0007742_Gbi_Lko.aln	0.0876	0.4086	4.6659
OGs_OG0007693_Gbi_Lko.aln	0.1314	0.2701	2.0562
OGs_OG0008696_Gbi_Lko.aln	0.2049	0.6946	3.3908
OGs_OG0005283_Gbi_Lko.aln	0.0591	0.2386	4.0393
OGs_OG0005297_Gbi_Lko.aln	0.1789	0.6003	3.3559
OGs_OG0004475_Gbi_Lko.aln	0.1396	0.2462	1.7629
OGs_OG0005181_Gbi_Lko.aln	0.0125	0.0562	4.483
OGs_OG0004410_Gbi_Lko.aln	0.0567	0.1383	2.44
OGs_OG0006697_Gbi_Lko.aln	0.1297	0.3476	2.6796
OGs_OG0011312_Gbi_Lko.aln	0.0105	0.0136	1.2982
OGs_OG0006781_Gbi_Lko.aln	0.1036	0.3767	3.6358
OGs_OG0002434_Gbi_Lko.aln	0.0189	0.0859	4.5498
OGs_OG0001878_Gbi_Lko.aln	0.0656	0.1042	1.5896
OGs_OG0003630_Gbi_Lko.aln	0.1158	0.2034	1.7568
OGs_OG0003512_Gbi_Lko.aln	0.0082	0.0336	4.1032
OGs_OG0004289_Gbi_Lko.aln	0.0077	0.0316	4.127
OGs_OG0004549_Gbi_Lko.aln	0.0631	0.2392	3.793
OGs_OG0003745_Gbi_Lko.aln	0.0165	0.0716	4.3311
OGs_OG0002943_Gbi_Lko.aln	0.0607	0.2019	3.327
OGs_OG0002023_Gbi_Lko.aln	0.0387	0.1724	4.4495
OGs_OG0009102_Gbi_Lko.aln	0.0798	0.3404	4.2673
OGs_OG0000895_Gbi_Lko.aln	0.0604	0.1654	2.7377
OGs_OG0005914_Gbi_Lko.aln	0.0576	0.2059	3.5728
OGs_OG0006699_Gbi_Lko.aln	0.0	-0.0	2.7501
OGs_OG0004359_Gbi_Lko.aln	0.08	0.3445	4.3076
OGs_OG0001881_Gbi_Lko.aln	0.0084	0.0347	4.1273
OGs_OG0003382_Gbi_Lko.aln	0.0106	0.0164	1.5367
OGs_OG0009257_Gbi_Lko.aln	0.1899	0.6288	3.3111
OGs_OG0013461_Gbi_Lko.aln	0.3018	0.3258	1.0796
OGs_OG0002288_Gbi_Lko.aln	0.0299	0.1438	4.8092
OGs_OG0003389_Gbi_Lko.aln	0.0171	0.0594	3.4801
OGs_OG0001562_Gbi_Lko.aln	0.058	0.2288	3.9434
OGs_OG0005781_Gbi_Lko.aln	0.2005	0.3231	1.6109
OGs_OG0005835_Gbi_Lko.aln	0.2923	0.4982	1.704
OGs_OG0003690_Gbi_Lko.aln	0.0692	0.3459	4.998
OGs_OG0003449_Gbi_Lko.aln	0.1822	0.2075	1.1391
OGs_OG0008540_Gbi_Lko.aln	0.2271	0.2846	1.2531
OGs_OG0001957_Gbi_Lko.aln	0.0087	0.0264	3.0197
OGs_OG0005670_Gbi_Lko.aln	0.2251	0.5557	2.4685
OGs_OG0005048_Gbi_Lko.aln	0.1411	0.1424	1.0094
OGs_OG0006591_Gbi_Lko.aln	0.127	0.2205	1.7352
OGs_OG0006451_Gbi_Lko.aln	0.0416	0.0974	2.3411
OGs_OG0003248_Gbi_Lko.aln	0.0657	0.1301	1.98
OGs_OG0001282_Gbi_Lko.aln	0.0736	0.2985	4.0552
OGs_OG0008091_Gbi_Lko.aln	0.0647	0.2667	4.1211
OGs_OG0006244_Gbi_Lko.aln	0.0667	0.1153	1.7298
OGs_OG0010416_Gbi_Lko.aln	0.0991	0.2924	2.9501
OGs_OG0002985_Gbi_Lko.aln	0.0291	0.1154	3.968
OGs_OG0002736_Gbi_Lko.aln	0.0047	0.0194	4.1273
OGs_OG0003023_Gbi_Lko.aln	0.05	0.1767	3.5354
OGs_OG0003332_Gbi_Lko.aln	0.079	0.2417	3.0584
OGs_OG0004054_Gbi_Lko.aln	0.0543	0.0946	1.7428
OGs_OG0005495_Gbi_Lko.aln	0.0857	0.3202	3.7357
OGs_OG0004078_Gbi_Lko.aln	0.0504	0.1797	3.5689
OGs_OG0003149_Gbi_Lko.aln	0.0288	0.1367	4.742
OGs_OG0006298_Gbi_Lko.aln	0.0329	0.1487	4.5138
OGs_OG0004102_Gbi_Lko.aln	0.0164	0.0617	3.7732
OGs_OG0002560_Gbi_Lko.aln	0.073	0.1312	1.7959
OGs_OG0005505_Gbi_Lko.aln	0.0248	0.1173	4.7228
OGs_OG0000965_Gbi_Lko.aln	0.0298	0.1011	3.3886
OGs_OG0003991_Gbi_Lko.aln	0.0414	0.1697	4.1027
OGs_OG0008288_Gbi_Lko.aln	0.0194	0.0829	4.2667
OGs_OG0003516_Gbi_Lko.aln	0.0282	0.0688	2.4422
OGs_OG0008307_Gbi_Lko.aln	0.0416	0.1729	4.1621
OGs_OG0003346_Gbi_Lko.aln	0.0488	0.1085	2.2253
OGs_OG0013425_Gbi_Lko.aln	0.1659	0.1008	0.6075
OGs_OG0005034_Gbi_Lko.aln	0.0151	0.0742	4.9152
OGs_OG0005749_Gbi_Lko.aln	0.0303	0.085	2.809
OGs_OG0003048_Gbi_Lko.aln	0.054	0.235	4.3553
OGs_OG0007322_Gbi_Lko.aln	0.0957	0.3801	3.9695
OGs_OG0004524_Gbi_Lko.aln	0.0191	0.0767	4.0105
OGs_OG0003634_Gbi_Lko.aln	0.0314	0.1294	4.1256
OGs_OG0007687_Gbi_Lko.aln	0.0842	0.196	2.3288
OGs_OG0006714_Gbi_Lko.aln	0.0	-0.0	1.7616
OGs_OG0002781_Gbi_Lko.aln	0.0261	0.0693	2.66
OGs_OG0001097_Gbi_Lko.aln	0.0112	0.0513	4.5935
OGs_OG0003388_Gbi_Lko.aln	0.0574	0.158	2.754
OGs_OG0001075_Gbi_Lko.aln	0.0356	0.1459	4.1023
OGs_OG0006397_Gbi_Lko.aln	0.0268	0.0831	3.0967
OGs_OG0003843_Gbi_Lko.aln	0.0128	0.044	3.4314
OGs_OG0006608_Gbi_Lko.aln	0.0156	0.0641	4.1144
OGs_OG0007160_Gbi_Lko.aln	0.0112	0.0522	4.6796
OGs_OG0001735_Gbi_Lko.aln	0.0604	0.2439	4.0377
OGs_OG0004745_Gbi_Lko.aln	0.0026	0.009	3.4836
OGs_OG0008877_Gbi_Lko.aln	0.0738	0.2888	3.9159
OGs_OG0003291_Gbi_Lko.aln	0.0467	0.2286	4.8952
OGs_OG0003996_Gbi_Lko.aln	0.0864	0.2147	2.4863
OGs_OG0003502_Gbi_Lko.aln	0.0101	0.0384	3.8121
OGs_OG0006431_Gbi_Lko.aln	0.017	0.0758	4.4534
OGs_OG0013629_Gbi_Lko.aln	0.0252	0.0746	2.9605
OGs_OG0000628_Gbi_Lko.aln	0.1046	0.4171	3.9886
OGs_OG0013583_Gbi_Lko.aln	0.1872	0.6155	3.2887
OGs_OG0005888_Gbi_Lko.aln	0.2166	0.4817	2.2242
OGs_OG0004598_Gbi_Lko.aln	0.0907	0.3227	3.558
OGs_OG0005757_Gbi_Lko.aln	0.0316	0.1338	4.2379
OGs_OG0001387_Gbi_Lko.aln	0.0408	0.0709	1.7379
OGs_OG0005773_Gbi_Lko.aln	0.0065	0.0262	3.9952
OGs_OG0004300_Gbi_Lko.aln	0.0264	0.067	2.5394
OGs_OG0005976_Gbi_Lko.aln	0.0912	0.2037	2.2338
OGs_OG0008397_Gbi_Lko.aln	0.1036	0.3073	2.9678
OGs_OG0006473_Gbi_Lko.aln	0.0734	0.3115	4.247
OGs_OG0006072_Gbi_Lko.aln	0.0181	0.0409	2.2554
OGs_OG0004753_Gbi_Lko.aln	0.0184	0.085	4.6292
OGs_OG0001920_Gbi_Lko.aln	0.1154	0.3088	2.675
OGs_OG0005852_Gbi_Lko.aln	0.1645	0.3062	1.8613
OGs_OG0004993_Gbi_Lko.aln	0.1519	0.6064	3.9921
OGs_OG0001553_Gbi_Lko.aln	0.0049	0.0239	4.906
OGs_OG0006555_Gbi_Lko.aln	0.0113	0.0571	5.0425
OGs_OG0007455_Gbi_Lko.aln	0.0417	0.17	4.0777
OGs_OG0001944_Gbi_Lko.aln	0.1626	0.3368	2.0712
OGs_OG0007963_Gbi_Lko.aln	0.1182	0.3904	3.3042
OGs_OG0003930_Gbi_Lko.aln	0.0667	0.0855	1.2821
OGs_OG0003245_Gbi_Lko.aln	0.0583	0.1239	2.1245
OGs_OG0005038_Gbi_Lko.aln	0.0009	0.0035	3.9369
OGs_OG0006173_Gbi_Lko.aln	0.0414	0.1746	4.2167
OGs_OG0002585_Gbi_Lko.aln	0.096	0.3571	3.7188
OGs_OG0006643_Gbi_Lko.aln	0.0391	0.1027	2.6267
OGs_OG0003730_Gbi_Lko.aln	0.015	0.0699	4.6564
OGs_OG0003951_Gbi_Lko.aln	0.0393	0.1226	3.1195
OGs_OG0005944_Gbi_Lko.aln	0.0225	0.0852	3.7964
OGs_OG0011360_Gbi_Lko.aln	0.0789	0.2047	2.594
OGs_OG0008334_Gbi_Lko.aln	0.0815	0.3598	4.4134
OGs_OG0005163_Gbi_Lko.aln	0.0585	0.1449	2.4752
OGs_OG0005233_Gbi_Lko.aln	0.0753	0.2895	3.8454
OGs_OG0005015_Gbi_Lko.aln	0.0545	0.1917	3.518
OGs_OG0006967_Gbi_Lko.aln	0.1257	0.2472	1.9661
OGs_OG0003672_Gbi_Lko.aln	0.0415	0.1727	4.1658
OGs_OG0003156_Gbi_Lko.aln	0.0648	0.2771	4.2743
OGs_OG0003599_Gbi_Lko.aln	0.067	0.2371	3.5384
OGs_OG0006139_Gbi_Lko.aln	0.0056	0.0194	3.4672
OGs_OG0004288_Gbi_Lko.aln	0.0001	0.0069	99.0
OGs_OG0003333_Gbi_Lko.aln	0.0543	0.1045	1.9251
OGs_OG0010508_Gbi_Lko.aln	0.4446	0.3125	0.7029
OGs_OG0004634_Gbi_Lko.aln	0.1601	0.2632	1.644
OGs_OG0005030_Gbi_Lko.aln	0.0427	0.1725	4.0416
OGs_OG0004454_Gbi_Lko.aln	0.0448	0.1944	4.3434
OGs_OG0002686_Gbi_Lko.aln	0.1496	0.2817	1.8829
OGs_OG0001801_Gbi_Lko.aln	0.0122	0.0514	4.2326
OGs_OG0006015_Gbi_Lko.aln	0.0122	0.0381	3.1121
OGs_OG0006404_Gbi_Lko.aln	0.0138	0.0635	4.5957
OGs_OG0003049_Gbi_Lko.aln	0.0914	0.2246	2.4579
OGs_OG0004743_Gbi_Lko.aln	0.1318	0.4668	3.5407
OGs_OG0006276_Gbi_Lko.aln	0.0296	0.0773	2.6099
OGs_OG0002404_Gbi_Lko.aln	0.0587	0.1204	2.0489
OGs_OG0002409_Gbi_Lko.aln	0.024	0.0349	1.4549
OGs_OG0006706_Gbi_Lko.aln	0.0575	0.2814	4.8932
OGs_OG0005882_Gbi_Lko.aln	0.0344	0.1447	4.2126
OGs_OG0006825_Gbi_Lko.aln	0.0185	0.0762	4.1103
OGs_OG0007281_Gbi_Lko.aln	0.2731	0.3662	1.3409
OGs_OG0011381_Gbi_Lko.aln	0.0871	0.2335	2.6817
OGs_OG0008045_Gbi_Lko.aln	0.1884	0.5294	2.8103
OGs_OG0002507_Gbi_Lko.aln	0.1122	0.173	1.5429
OGs_OG0006864_Gbi_Lko.aln	0.021	0.1056	5.0195
OGs_OG0001817_Gbi_Lko.aln	0.0273	0.0752	2.7575
OGs_OG0008144_Gbi_Lko.aln	0.1248	0.4015	3.2171
OGs_OG0008686_Gbi_Lko.aln	0.0177	0.0557	3.154
OGs_OG0008010_Gbi_Lko.aln	0.1654	0.2821	1.7052
OGs_OG0005373_Gbi_Lko.aln	0.0866	0.2719	3.1399
OGs_OG0003643_Gbi_Lko.aln	0.027	0.118	4.3682
OGs_OG0006444_Gbi_Lko.aln	0.0996	0.1796	1.8037
OGs_OG0001288_Gbi_Lko.aln	0.0309	0.1359	4.3947
OGs_OG0003497_Gbi_Lko.aln	0.0343	0.1365	3.9838
OGs_OG0002875_Gbi_Lko.aln	0.0322	0.068	2.1119
OGs_OG0003259_Gbi_Lko.aln	0.0176	0.0647	3.6846
OGs_OG0006114_Gbi_Lko.aln	0.0351	0.1358	3.8702
OGs_OG0008767_Gbi_Lko.aln	0.0643	0.1913	2.9771
OGs_OG0005842_Gbi_Lko.aln	0.0821	0.3319	4.0417
OGs_OG0005467_Gbi_Lko.aln	0.0362	0.0978	2.6993
OGs_OG0007794_Gbi_Lko.aln	0.0396	0.1142	2.881
OGs_OG0002296_Gbi_Lko.aln	0.0187	0.0281	1.5003
OGs_OG0009255_Gbi_Lko.aln	0.2442	0.4532	1.8557
OGs_OG0008889_Gbi_Lko.aln	0.0755	0.2893	3.8337
OGs_OG0005300_Gbi_Lko.aln	0.0701	0.2215	3.1587
OGs_OG0002711_Gbi_Lko.aln	0.1416	0.2829	1.9984
OGs_OG0004801_Gbi_Lko.aln	0.0374	0.1037	2.7744
OGs_OG0005919_Gbi_Lko.aln	0.0686	0.2485	3.6257
OGs_OG0005041_Gbi_Lko.aln	0.0248	0.0179	0.7235
OGs_OG0013454_Gbi_Lko.aln	0.1971	0.2381	1.2077
OGs_OG0013428_Gbi_Lko.aln	0.191	0.3887	2.0344
OGs_OG0004382_Gbi_Lko.aln	0.0279	0.1169	4.1834
OGs_OG0006809_Gbi_Lko.aln	0.0607	0.1336	2.2024
OGs_OG0006467_Gbi_Lko.aln	0.1957	0.3795	1.9389
OGs_OG0005455_Gbi_Lko.aln	0.0521	0.2353	4.5205
OGs_OG0002138_Gbi_Lko.aln	0.0586	0.1802	3.0743
OGs_OG0003141_Gbi_Lko.aln	0.0183	0.0484	2.6447
OGs_OG0003781_Gbi_Lko.aln	0.0135	0.0546	4.0534
OGs_OG0000725_Gbi_Lko.aln	0.0697	0.1253	1.7974
OGs_OG0004886_Gbi_Lko.aln	0.0609	0.2174	3.5723
OGs_OG0007457_Gbi_Lko.aln	0.0365	0.1389	3.8018
OGs_OG0002512_Gbi_Lko.aln	0.0471	0.205	4.3501
OGs_OG0007818_Gbi_Lko.aln	0.0186	0.0843	4.5443
OGs_OG0002048_Gbi_Lko.aln	0.075	0.2251	3.0024
OGs_OG0009338_Gbi_Lko.aln	0.0589	0.0831	1.4103
OGs_OG0005413_Gbi_Lko.aln	0.0168	0.0711	4.2224
OGs_OG0005618_Gbi_Lko.aln	0.0064	0.0288	4.4809
OGs_OG0013648_Gbi_Lko.aln	0.3457	0.7192	2.0802
OGs_OG0010081_Gbi_Lko.aln	0.1108	0.2769	2.4998
OGs_OG0009590_Gbi_Lko.aln	0.1054	0.4032	3.8257
OGs_OG0002964_Gbi_Lko.aln	0.0127	0.0542	4.2791
OGs_OG0010107_Gbi_Lko.aln	0.7858	1.1875	1.5113
OGs_OG0007512_Gbi_Lko.aln	0.0428	0.1948	4.5514
OGs_OG0002807_Gbi_Lko.aln	0.0994	0.2829	2.8447
OGs_OG0002723_Gbi_Lko.aln	0.0805	0.3341	4.1484
OGs_OG0013487_Gbi_Lko.aln	0.1665	0.364	2.1864
OGs_OG0007104_Gbi_Lko.aln	0.0479	0.1192	2.4889
OGs_OG0007884_Gbi_Lko.aln	0.0655	0.2618	3.9967
OGs_OG0005306_Gbi_Lko.aln	0.1088	0.1666	1.5312
OGs_OG0005287_Gbi_Lko.aln	0.0103	0.0508	4.9096
OGs_OG0006455_Gbi_Lko.aln	0.0218	0.0901	4.1249
OGs_OG0005111_Gbi_Lko.aln	0.0523	0.1027	1.9616
OGs_OG0005850_Gbi_Lko.aln	0.0667	0.1973	2.9575
OGs_OG0004333_Gbi_Lko.aln	0.0091	0.0338	3.7189
OGs_OG0001251_Gbi_Lko.aln	0.0609	0.2654	4.3613
OGs_OG0003147_Gbi_Lko.aln	0.1251	0.4821	3.8524
OGs_OG0013571_Gbi_Lko.aln	0.0848	0.1812	2.1355
OGs_OG0001871_Gbi_Lko.aln	0.2756	0.526	1.9084
OGs_OG0002952_Gbi_Lko.aln	0.0254	0.1112	4.3747
OGs_OG0004635_Gbi_Lko.aln	0.0095	0.0308	3.2553
OGs_OG0004473_Gbi_Lko.aln	0.0427	0.183	4.2889
OGs_OG0009033_Gbi_Lko.aln	0.0535	0.2012	3.7565
OGs_OG0003769_Gbi_Lko.aln	0.007	0.031	4.4416
OGs_OG0005458_Gbi_Lko.aln	0.0247	0.0991	4.0125
OGs_OG0005443_Gbi_Lko.aln	0.0542	0.2315	4.2676
OGs_OG0008405_Gbi_Lko.aln	0.0935	0.3822	4.0879
OGs_OG0010050_Gbi_Lko.aln	0.2804	0.5069	1.8077
OGs_OG0006257_Gbi_Lko.aln	0.0374	0.1476	3.9423
OGs_OG0006159_Gbi_Lko.aln	0.0515	0.1824	3.5408
OGs_OG0004312_Gbi_Lko.aln	0.068	0.1058	1.5555
OGs_OG0013295_Gbi_Lko.aln	0.1621	0.4152	2.5604
OGs_OG0008373_Gbi_Lko.aln	0.0762	0.2351	3.0855
OGs_OG0005975_Gbi_Lko.aln	0.0697	0.2056	2.9497
OGs_OG0004180_Gbi_Lko.aln	0.0864	0.3618	4.1891
OGs_OG0005780_Gbi_Lko.aln	0.0636	0.2461	3.87
OGs_OG0003901_Gbi_Lko.aln	0.0759	0.3176	4.1826
OGs_OG0005921_Gbi_Lko.aln	0.0125	0.0407	3.2589
OGs_OG0001654_Gbi_Lko.aln	0.0607	0.34	5.5997
OGs_OG0007542_Gbi_Lko.aln	0.0936	0.3102	3.3161
OGs_OG0005105_Gbi_Lko.aln	0.0283	0.0795	2.8145
OGs_OG0009351_Gbi_Lko.aln	0.1495	0.6104	4.0837
OGs_OG0004675_Gbi_Lko.aln	0.0198	0.0764	3.8544
OGs_OG0005408_Gbi_Lko.aln	0.3077	0.3817	1.2404
OGs_OG0008170_Gbi_Lko.aln	0.118	0.5242	4.4417
OGs_OG0013686_Gbi_Lko.aln	0.2353	0.2906	1.2354
OGs_OG0004874_Gbi_Lko.aln	0.0009	0.0907	99.0
OGs_OG0007814_Gbi_Lko.aln	0.1483	0.4204	2.8348
OGs_OG0002977_Gbi_Lko.aln	0.0403	0.1839	4.5595
OGs_OG0005715_Gbi_Lko.aln	0.0725	0.2142	2.9535
OGs_OG0005543_Gbi_Lko.aln	0.1626	0.3382	2.0805
OGs_OG0003504_Gbi_Lko.aln	0.0242	0.0713	2.9457
OGs_OG0005393_Gbi_Lko.aln	0.2856	0.4645	1.6265
OGs_OG0003747_Gbi_Lko.aln	0.0425	0.1676	3.9439
OGs_OG0007851_Gbi_Lko.aln	0.0683	0.2935	4.2995
OGs_OG0003293_Gbi_Lko.aln	0.1895	0.3325	1.7549
OGs_OG0008773_Gbi_Lko.aln	0.1193	0.4144	3.4745
OGs_OG0004830_Gbi_Lko.aln	0.0588	0.1372	2.3334
OGs_OG0003263_Gbi_Lko.aln	0.0217	0.063	2.9012
OGs_OG0007958_Gbi_Lko.aln	0.119	0.3917	3.292
OGs_OG0006154_Gbi_Lko.aln	0.0582	0.2649	4.5507
OGs_OG0006151_Gbi_Lko.aln	0.0479	0.2048	4.2763
OGs_OG0000523_Gbi_Lko.aln	0.3002	1.0084	3.3594
OGs_OG0005652_Gbi_Lko.aln	0.036	0.1063	2.9507
OGs_OG0003425_Gbi_Lko.aln	0.1378	0.3463	2.5124
OGs_OG0013305_Gbi_Lko.aln	0.071	0.1463	2.0596
OGs_OG0013358_Gbi_Lko.aln	0.235	0.3292	1.4006
OGs_OG0001295_Gbi_Lko.aln	0.0349	0.1878	5.3759
OGs_OG0003348_Gbi_Lko.aln	0.1308	0.1745	1.3333
OGs_OG0003181_Gbi_Lko.aln	0.0339	0.1451	4.2763
OGs_OG0004201_Gbi_Lko.aln	0.0114	0.0613	5.3721
OGs_OG0005026_Gbi_Lko.aln	0.0151	0.0663	4.3917
OGs_OG0001630_Gbi_Lko.aln	0.005	0.0263	5.2898
OGs_OG0003969_Gbi_Lko.aln	0.0473	0.1553	3.286
OGs_OG0001987_Gbi_Lko.aln	0.0449	0.1962	4.3723
OGs_OG0013600_Gbi_Lko.aln	0.4724	0.8847	1.8726
OGs_OG0003861_Gbi_Lko.aln	0.525	1.0817	2.0603
OGs_OG0011483_Gbi_Lko.aln	0.2798	0.8173	2.9204
OGs_OG0008096_Gbi_Lko.aln	0.1282	0.53	4.1356
OGs_OG0004364_Gbi_Lko.aln	0.0515	0.2241	4.3532
OGs_OG0007841_Gbi_Lko.aln	0.0309	0.1196	3.8734
OGs_OG0005907_Gbi_Lko.aln	0.0571	0.2245	3.9327
OGs_OG0011051_Gbi_Lko.aln	0.1068	0.2037	1.907
OGs_OG0008038_Gbi_Lko.aln	0.1325	0.2453	1.8522
OGs_OG0001806_Gbi_Lko.aln	0.0962	0.2275	2.3652
OGs_OG0002322_Gbi_Lko.aln	0.0204	0.041	2.0145
OGs_OG0003221_Gbi_Lko.aln	0.1603	0.1918	1.1964
OGs_OG0002399_Gbi_Lko.aln	0.0452	0.202	4.4676
OGs_OG0005619_Gbi_Lko.aln	0.0824	0.3399	4.1263
OGs_OG0002490_Gbi_Lko.aln	0.4488	0.5443	1.2128
OGs_OG0005073_Gbi_Lko.aln	0.0696	0.1762	2.5328
OGs_OG0004392_Gbi_Lko.aln	0.0471	0.1986	4.2133
OGs_OG0004985_Gbi_Lko.aln	0.1121	0.2232	1.9912
OGs_OG0008563_Gbi_Lko.aln	0.0852	0.3633	4.2622
OGs_OG0001930_Gbi_Lko.aln	0.0277	0.0766	2.7651
OGs_OG0007792_Gbi_Lko.aln	0.0572	0.2068	3.6138
OGs_OG0005905_Gbi_Lko.aln	0.1265	0.2976	2.3528
OGs_OG0003621_Gbi_Lko.aln	0.0291	0.0446	1.5327
OGs_OG0001846_Gbi_Lko.aln	0.0867	0.1953	2.2537
OGs_OG0006655_Gbi_Lko.aln	0.1088	0.288	2.6479
OGs_OG0008564_Gbi_Lko.aln	0.1181	0.4074	3.4484
OGs_OG0007847_Gbi_Lko.aln	0.102	0.4774	4.682
OGs_OG0005510_Gbi_Lko.aln	0.0596	0.1159	1.9429
OGs_OG0009094_Gbi_Lko.aln	0.0576	0.1984	3.4423
OGs_OG0008232_Gbi_Lko.aln	0.0342	0.0779	2.2777
OGs_OG0005217_Gbi_Lko.aln	0.0574	0.1806	3.1465
OGs_OG0013447_Gbi_Lko.aln	0.1699	0.6111	3.5978
OGs_OG0010166_Gbi_Lko.aln	0.3224	0.474	1.4702
OGs_OG0005525_Gbi_Lko.aln	0.1153	0.2627	2.2786
OGs_OG0004988_Gbi_Lko.aln	0.0261	0.0637	2.4374
OGs_OG0000980_Gbi_Lko.aln	0.0356	0.1545	4.3343
OGs_OG0006717_Gbi_Lko.aln	0.0207	0.0848	4.0922
OGs_OG0002446_Gbi_Lko.aln	0.0128	0.0613	4.7688
OGs_OG0001999_Gbi_Lko.aln	0.0218	0.0964	4.4295
OGs_OG0009725_Gbi_Lko.aln	0.0463	0.0869	1.878
OGs_OG0005890_Gbi_Lko.aln	0.0359	0.1383	3.8565
OGs_OG0004667_Gbi_Lko.aln	0.0456	0.0663	1.4544
OGs_OG0004240_Gbi_Lko.aln	0.0206	0.0381	1.8518
OGs_OG0003090_Gbi_Lko.aln	0.0393	0.1735	4.4204
OGs_OG0002753_Gbi_Lko.aln	0.0642	0.2694	4.1994
OGs_OG0002164_Gbi_Lko.aln	0.0346	0.1312	3.7874
OGs_OG0013335_Gbi_Lko.aln	0.0769	0.2777	3.6093
OGs_OG0006156_Gbi_Lko.aln	0.091	0.2384	2.6189
OGs_OG0005261_Gbi_Lko.aln	0.1827	0.3851	2.1074
OGs_OG0004188_Gbi_Lko.aln	0.0081	0.0292	3.617
OGs_OG0003760_Gbi_Lko.aln	0.0267	0.1088	4.074
OGs_OG0006368_Gbi_Lko.aln	0.0837	0.3878	4.6365
OGs_OG0002708_Gbi_Lko.aln	0.0258	0.0885	3.4273
OGs_OG0005638_Gbi_Lko.aln	0.031	0.1285	4.1387
OGs_OG0007027_Gbi_Lko.aln	0.0557	0.2188	3.9304
OGs_OG0006783_Gbi_Lko.aln	0.0527	0.2111	4.0049
OGs_OG0005134_Gbi_Lko.aln	0.0638	0.2962	4.6395
OGs_OG0003129_Gbi_Lko.aln	0.0205	0.0981	4.7875
OGs_OG0005441_Gbi_Lko.aln	0.0565	0.1977	3.4995
OGs_OG0007440_Gbi_Lko.aln	0.0443	0.0981	2.2152
OGs_OG0013529_Gbi_Lko.aln	0.1814	0.3706	2.0427
OGs_OG0007223_Gbi_Lko.aln	0.2541	0.3901	1.5354
OGs_OG0004655_Gbi_Lko.aln	0.0284	0.1249	4.4017
OGs_OG0007682_Gbi_Lko.aln	0.0489	0.2117	4.3276
OGs_OG0003674_Gbi_Lko.aln	0.0465	0.0801	1.7231
OGs_OG0005642_Gbi_Lko.aln	0.0416	0.047	1.1303
OGs_OG0006848_Gbi_Lko.aln	0.0307	0.1074	3.496
OGs_OG0000575_Gbi_Lko.aln	0.0285	0.0387	1.3571
OGs_OG0006610_Gbi_Lko.aln	0.0611	0.0971	1.5904
OGs_OG0003873_Gbi_Lko.aln	0.048	0.1986	4.1386
OGs_OG0004121_Gbi_Lko.aln	0.0311	0.0718	2.3094
OGs_OG0006419_Gbi_Lko.aln	0.0761	0.2866	3.7649
OGs_OG0007294_Gbi_Lko.aln	0.0639	0.1376	2.1545
OGs_OG0005334_Gbi_Lko.aln	0.194	0.7056	3.6366
OGs_OG0003349_Gbi_Lko.aln	0.0697	0.3231	4.6336
OGs_OG0006814_Gbi_Lko.aln	0.0349	0.0853	2.445
OGs_OG0001859_Gbi_Lko.aln	0.1391	0.1134	0.8154
OGs_OG0004347_Gbi_Lko.aln	0.042	0.0815	1.9417
OGs_OG0005367_Gbi_Lko.aln	0.0175	0.0573	3.2736
OGs_OG0007080_Gbi_Lko.aln	0.0371	0.0696	1.8747
OGs_OG0004802_Gbi_Lko.aln	0.0004	0.0407	99.0
OGs_OG0007262_Gbi_Lko.aln	0.0495	0.1994	4.0286
OGs_OG0009707_Gbi_Lko.aln	0.1436	0.2323	1.6175
OGs_OG0003133_Gbi_Lko.aln	0.0056	0.0203	3.6252
OGs_OG0006766_Gbi_Lko.aln	0.0098	0.0163	1.6735
OGs_OG0003054_Gbi_Lko.aln	0.0252	0.0552	2.1863
OGs_OG0000937_Gbi_Lko.aln	0.1525	0.3141	2.0591
OGs_OG0013620_Gbi_Lko.aln	0.2767	0.5042	1.8221
OGs_OG0002067_Gbi_Lko.aln	0.0634	0.1104	1.7417
OGs_OG0002668_Gbi_Lko.aln	0.1236	0.3834	3.1013
OGs_OG0003003_Gbi_Lko.aln	0.0655	0.1238	1.8885
OGs_OG0003548_Gbi_Lko.aln	0.0411	0.1244	3.029
OGs_OG0003842_Gbi_Lko.aln	0.0387	0.1585	4.0972
OGs_OG0005033_Gbi_Lko.aln	0.0163	0.0211	1.2952
OGs_OG0001679_Gbi_Lko.aln	0.0596	0.3194	5.3577
OGs_OG0004171_Gbi_Lko.aln	0.0408	0.1872	4.5838
OGs_OG0006428_Gbi_Lko.aln	0.095	0.2005	2.1102
OGs_OG0013623_Gbi_Lko.aln	0.0675	0.2106	3.1222
OGs_OG0005778_Gbi_Lko.aln	0.0533	0.2349	4.4052
OGs_OG0003479_Gbi_Lko.aln	0.035	0.1535	4.3849
OGs_OG0013472_Gbi_Lko.aln	0.0224	0.0836	3.7362
OGs_OG0003015_Gbi_Lko.aln	0.0759	0.3365	4.4336
OGs_OG0007444_Gbi_Lko.aln	0.1562	0.1524	0.9756
OGs_OG0002956_Gbi_Lko.aln	0.0028	0.0115	4.1505
OGs_OG0003914_Gbi_Lko.aln	0.0129	0.024	1.8579
OGs_OG0013466_Gbi_Lko.aln	0.1107	0.2984	2.6971
OGs_OG0002894_Gbi_Lko.aln	0.0262	0.1202	4.5955
